,Proficiency of Material Means,Explaining Material Well Means
"Voelker, Geoffrey M.",4.828666666666666,4.779333333333333
"Porter, George M",4.672499999999999,4.49
"Stefan, Deian",4.579999999999999,3.9749999999999996
"Polikarpova, Nadezhda",4.632,4.11
"Orailoglu, Alex",4.403157894736842,3.234736842105263
"Pannuto, Patrick William",4.54,4.33
"Tullsen, Dean Michael",4.693888888888889,4.351666666666667
"Esmaeilzadeh, Hadi",4.2725,3.8
"Gao, Sicun",4.6274999999999995,4.355
"Berg-Kirkpatrick, Taylor D",4.6466666666666665,4.093333333333334
"Su, Hao",4.383333333333333,3.61
"McAuley, Julian John",4.6000000000000005,4.21
"Ostertag, Michael Henry",4.488333333333333,4.366666666666666
"Lovett, Shachar",4.409090909090909,3.833636363636364
"Howden, William E.",4.736,4.676
"Lerner, Sorin",4.573529411764706,4.444117647058824
"Braun, Oliver",4.524444444444445,4.365555555555556
"Jaiswal, Ragesh",4.277142857142857,3.672857142857143
"Tseng, Hung-Wei",4.376363636363637,4.120909090909091
"Geumlek, Joseph Donald",4.678,4.622
"Kumar, Rakesh",4.4695833333333335,4.234583333333333
"Bach, Quang Tran",4.5441666666666665,4.300833333333334
"Valstar, Andries",4.3100000000000005,4.225
"Dubnov, Shlomo",4.8,3.4
"Impagliazzo, Russell",4.0874999999999995,3.3299999999999996
"Allos, Haytham Issa",4.036666666666667,3.8066666666666666
"Zhou, Yuan-Yuan",4.511111111111111,3.9444444444444446
"Zhang, Yiying",4.67,4.14
"Savage, Stefan",4.696,4.470000000000001
"Deutsch, Alin Bernard",4.377999999999999,3.7779999999999996
"Kumar, Arun Kumar",4.79,4.4375
"Gupta, Rajesh K.",4.263,3.7299999999999995
"Kastner, Ryan Charles",4.00125,3.858571428571429
"Eldridge, Justin Matthew",4.88,4.81
"Chandraker, Manmohan Krishna",4.445,3.6825
"Ramamoorthi, Ravi",4.821428571428571,4.472857142857142
"Riek, Laurel D",4.79,4.656666666666666
"Gymrek, Melissa Ann",4.673333333333334,4.536666666666666
"Chandrasekhar, Arjun",4.425,4.055
"Griswold, William G.",4.247777777777778,4.026666666666667
"Tsaur, Lih-Feng",3.813333333333333,2.953333333333333
"Freiling, Christopher Fran",4.1899999999999995,3.7
"Kriegman, David J",4.298,3.628
"Paturi, Ramamohan",4.558181818181818,4.152727272727272
"Shang, Jingbo",4.88,4.13
"Kahng, Andrew Byun",4.377777777777777,3.921111111111111
"Freund, Yoav",3.721,2.9479999999999995
"Micciancio, Daniele",4.296923076923076,3.577692307692308
"Zhao, Jishen",4.285,3.795
"Nakashole, Ndapandula",4.383333333333333,3.8299999999999996
"Merrill, Devon James",4.6375,4.42
"Polyzos, George C",3.978,3.3600000000000003
"Pister, Kaiser Stefan",4.56,4.37
"Gupta, Anjum",4.467142857142856,4.33
"Zaitsev, Anna L",3.857142857142857,3.617142857142858
"Bakst, Alexander Goldberg",4.71,4.64
"Cheng, Chung Kuan",4.133333333333333,3.3144444444444443
"Altintas De Callaf, Ilkay",4.201612903225806,3.823225806451613
"Bafna, Vineet",4.461666666666666,3.776666666666666
"Lerner, Ian Amihay",4.67,4.67
"Ord, Richard",4.737358490566038,4.526981132075472
"Safonova, Iana",3.25,2.33
"Guo, Philip J",4.583333333333333,4.54
"Bandeira, Nuno Filipe Cabrita",4.512499999999999,4.3875
"Cosman, Benjamin Leverett",4.7,4.07
"Jemmott, Colin William",4.65,4.4
"Fraenkel, Aaron Mcmillan",4.7,4.6
"Cyranka, Jacek",4.64,4.09
"Marx, Susan S",4.192285714285715,3.7612857142857146
"Nguyen, Hau Cao",3.254285714285714,2.8842857142857143
"Papadopoulos, Philip Micha",4.431,3.988000000000001
"Gantman, Alexander",4.3,4.3
"Chu, Isaac Y",4.373636363636363,4.168181818181818
"Saul, Lawrence",4.684285714285714,4.384285714285714
"Bansal, Vikas",4.5,3.67
"Tiefenbruck, Janine LoBue",4.60375,4.48
"Barr, Iris",3.95,3.86
"Shacham, Hovav",4.684285714285715,4.439285714285715
"Vardy, Alexander",4.5,4.085
"Papakonstantinou, Yannis",4.463684210526315,4.09
"Levchenko, Kirill I.",4.35,3.99
"Guthals, Sarah Marie",5.0,4.89
"Langlois, Marina",4.432631578947368,4.147368421052631
"Imani, Mohsen",4.5,4.255
"Liao, Soohyun Nam",3.895,3.74
"Deblasio, Michael Joseph",4.67,4.67
"Kohlbrenner, David William",4.33,4.67
"Kesden, Gregory M",4.0600000000000005,3.5755555555555554
"Loksa, Dastyni Craig",4.140000000000001,3.84
"Raiko, Mikhail P.",4.77,3.54
"Mirza, Diba",4.528095238095238,4.333809523809525
"Mercati, Pietro",4.795,4.8100000000000005
"Yen, Dorothy",4.32,4.49
"Ferrante, Jeanne",4.4175,4.2325
"Zhang, Weifeng",4.015000000000001,3.1550000000000002
"Mangione-Tran, Carmine",3.71,3.0
"Jensen, Henrik",4.896666666666667,3.9
"Hoover, Gregory William",4.541428571428571,4.37
"Aksanli, Baris",4.73,4.0
"Taylor, Michael",4.293333333333333,3.86
"Gaasterland, Theresa",4.268000000000001,4.526000000000001
"Grady, Daniel Carl",3.92,3.66
"Jundt, Adam H",4.5425,4.38
"Yang, Shengqi",4.32,3.9
"Baden, Scott B.",3.931666666666667,3.285
"Savage, Stefan Roberts",4.596666666666667,4.396666666666667
"Bournoutian, Garo",4.569999999999999,4.328
"Gayles, Eric S",4.1425,3.5975
"Chockalingam, Ganapathy",4.44,4.248333333333333
"Kunin, Jay Stuart",4.1875,3.98
"Shonle, Macneil Charles",3.9275,3.3425000000000002
"Rhodes, Neil Campbell",5.0,4.0
"Frankie, Tasha Christine",4.47,4.446666666666666
"Glick, John H",4.34,4.0
"Kulikov, Alexander",3.86,3.2
"Menarini, Massimiliano",3.79,3.09
"Klemperer, Peter Friedrich",4.204000000000001,3.9220000000000006
"Kim, Yeon Kyung",3.92,3.33
"Arsanjani, Ali Paul",4.01,3.1799999999999997
"Barngrover, Christopher M",4.34,4.06
"Porter, Jesse D",4.17,3.75
"Kim, Choon",3.758333333333333,2.961666666666666
"Graham, Ronald L",4.59,4.26125
"Der, Matthew Francis",4.78,4.44
"Rubalcaba, Robert Ramon",4.609999999999999,4.53
"Chakraboty, Sourav",3.9325,3.0875
"Murillo Arnal, Ana Cristin",4.2266666666666675,3.973333333333333
"Kube, Paul Richard",4.494,4.065
"Chugh, Ravi K",4.55,4.47
"Engel, Wolfgang F.",5.0,3.67
"Elkan, Charles Peter",4.04,4.035
"Belongie, Serge J.",4.835,4.42
"Hofri, Matan",3.83,3.17
"Wang, Jianwu",3.86,2.87
"Chandrashekhar, Roshni",4.17,3.93
"Varna, Rakesh Laxmisha",4.34,4.28
"Katsis, Ioannis",4.25,3.58
"Cicotti, Pietro",3.5,3.12
"Krueger, Ingolf",4.605,4.385
"Lee, Cynthia Bailey",4.5120000000000005,4.38
"Tang, Lingjia",4.83,4.48
"Mars, Jason",4.585,4.515000000000001
"Simon, Elizabeth A",4.68,4.68
"Webb, Kevin C",4.26,4.25
"Lin, Albert Yu Min",4.4,4.2
"Schurgers, Curt",4.6,4.75
